query_def_tech_label,top_def_tech_label,def_tactic_label,def_tactic_rel_label,def_tech_label,def_artifact_rel_label,def_artifact_label,off_artifact_label,off_artifact_rel_label,off_tech_label,off_tech_id,off_tech_parent_label,off_tech_parent_is_toplevel,off_tactic_rel_label,off_tactic_label,def_tactic,def_tactic_rel,def_tech,def_artifact_rel,def_artifact,off_artifact,off_artifact_rel,off_tech,off_tech_parent,off_tactic_rel,off_tactic
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Access Token,copies,Token Impersonation/Theft,T1134.001,Access Token Manipulation,false,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#copies,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0005
Token Binding,Credential Hardening,Harden,enables,Token Binding,strengthens,Access Token,Access Token,copies,Create Process with Token,T1134.002,Access Token Manipulation,false,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TokenBinding,http://d3fend.mitre.org/ontologies/d3fend.owl#strengthens,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#copies,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134.002,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0005
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Access Token,copies,Create Process with Token,T1134.002,Access Token Manipulation,false,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#copies,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134.002,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0005
Token Binding,Credential Hardening,Harden,enables,Token Binding,strengthens,Access Token,Access Token,copies,Make and Impersonate Token,T1134.003,Access Token Manipulation,false,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TokenBinding,http://d3fend.mitre.org/ontologies/d3fend.owl#strengthens,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#copies,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134.003,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0005
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Access Token,copies,Make and Impersonate Token,T1134.003,Access Token Manipulation,false,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#copies,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134.003,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0005
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Access Token,uses,Application Access Token,T1550.001,Use Alternate Authentication Material,false,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#uses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1550.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1550,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0005
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Session Cookie,adds,Web Session Cookie,T1550.004,Use Alternate Authentication Material,false,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#SessionCookie,http://d3fend.mitre.org/ontologies/d3fend.owl#adds,http://d3fend.mitre.org/ontologies/d3fend.owl#T1550.004,http://d3fend.mitre.org/ontologies/d3fend.owl#T1550,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0005
Token Binding,Credential Hardening,Harden,enables,Token Binding,strengthens,Access Token,Access Token,uses,Application Access Token,T1550.001,Use Alternate Authentication Material,false,enables,Lateral Movement,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TokenBinding,http://d3fend.mitre.org/ontologies/d3fend.owl#strengthens,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#uses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1550.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1550,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0008
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Access Token,uses,Application Access Token,T1550.001,Use Alternate Authentication Material,false,enables,Lateral Movement,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#uses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1550.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1550,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0008
Token Binding,Credential Hardening,Harden,enables,Token Binding,strengthens,Access Token,Access Token,copies,Token Impersonation/Theft,T1134.001,Access Token Manipulation,false,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TokenBinding,http://d3fend.mitre.org/ontologies/d3fend.owl#strengthens,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#copies,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0005
